Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP_SIGNUP_REQUEST,50,468,467,479,479,509,446,509,0.000%,.84367,0.20,0.26
HTTP_LOGIN_REQUEST,50,373,374,386,390,410,339,410,0.000%,.84475,0.40,0.21
HTTP_REQUEST_RESET,50,1393,1345,1633,1794,1821,1185,1821,0.000%,.83196,0.21,0.18
HTTP_RESET_PASSWORD,50,376,377,383,387,408,353,408,0.000%,.84489,0.20,0.29
TOTAL,200,652,410,1366,1444,1796,339,1821,0.000%,.35824,0.11,0.10
