Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Index page,50,3,4,5,6,9,2,9,0.000%,.85022,1.73,0.10
JS Bundle,50,12,12,14,16,26,9,26,0.000%,.84985,2531.11,0.11
TOTAL,100,8,9,13,14,22,2,26,0.000%,1.68512,2511.12,0.21
