Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP_SIGNUP_REQUEST,10,485,479,508,508,535,452,535,0.000%,.36393,0.09,0.11
HTTP_LOGIN_REQUEST,10,371,371,379,379,381,351,381,0.000%,.36531,0.17,0.09
HTTP_REQUEST_RESET,10,1431,1406,1523,1523,1868,1213,1868,0.000%,.35436,0.09,0.08
HTTP_RESET_PASSWORD,10,374,371,386,386,389,363,389,0.000%,.36528,0.09,0.13
TOTAL,40,665,389,1439,1473,1868,351,1868,0.000%,.10988,0.03,0.03
