Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Index page,10,3,5,3,3,10,3,10,0.00%,0.37026,0.75,0.04
JS Bundle,10,13,13,15,15,16,11,16,0.00%,0.37011,1096.61,0.05
TOTAL,20,10,10,15,15,16,3,16,0.00%,0.72651,1077.03,0.09
