Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP_SIGNUP_REQUEST,50,286,287,297,298,309,256,309,0.000%,.84612,0.20,0.26
HTTP_LOGIN_REQUEST,50,198,201,208,210,211,164,211,0.000%,.84731,0.40,0.21
HTTP_REQUEST_RESET,50,1542,1519,1674,1704,1888,1327,1888,0.000%,.82894,0.21,0.18
HTTP_RESET_PASSWORD,50,208,201,207,210,689,157,689,0.000%,.84743,0.20,0.29
TOTAL,200,558,256,1559,1657,1722,157,1888,0.000%,.28740,0.09,0.08
