Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP_SIGNUP_REQUEST,10,295,296,301,301,304,285,304,0.000%,.36630,0.09,0.11
HTTP_LOGIN_REQUEST,10,198,198,203,203,205,188,205,0.000%,.36758,0.17,0.09
HTTP_REQUEST_RESET,10,1586,1509,1660,1660,2250,1409,2250,0.000%,.35114,0.09,0.08
HTTP_RESET_PASSWORD,10,203,203,206,206,225,189,225,0.000%,.36757,0.09,0.13
TOTAL,40,571,225,1533,1601,2250,188,2250,0.000%,.12155,0.04,0.03
